,t,y,v_{y},v_{x},x
381,76.6,0.007432069,-0.069435793,-0.009541263,0.491749329
382,76.8,-0.007824387,-0.064193573,-0.004040826,0.490652378
383,77,-0.018245361,-0.058123714,0.001639929,0.490132998
384,77.2,-0.031073872,-0.063948139,0.009005785,0.49130835
385,77.4,-0.043824616,-0.05426246,0.008555617,0.493735312
386,77.6,-0.052778856,-0.056468646,0.01140665,0.494730596
387,77.8,-0.066412075,-0.056903106,0.011608458,0.498297972
388,78,-0.075540099,-0.064819021,0.007492261,0.49937398
389,78.2,-0.092339683,-0.074538587,0.006619353,0.501294877
390,78.4,-0.105355533,-0.060144663,-0.00239151,0.502021721
391,78.6,-0.116397548,-0.055140419,0.001012683,0.500338273
392,78.8,-0.127411701,-0.054899853,0.007847866,0.502426794
393,79,-0.13835749,-0.057398697,0.001948714,0.503477419
394,79.2,-0.15037118,-0.080918208,0.006802612,0.50320628
395,79.4,-0.170724773,-0.095200148,0.009207269,0.506198464
396,79.6,-0.188451239,-0.08600286,0.03150611,0.506889187
397,79.8,-0.205125917,-0.079018915,0.027680426,0.518800908
398,80,-0.220058805,-0.063765715,-0.002788729,0.517961358
399,80.2,-0.230632203,-0.058419197,0.005353143,0.517685416
400,80.4,-0.243426484,-0.059514365,0.004874336,0.520102615
401,80.6,-0.254437949,-0.064547426,0.005015777,0.51963515
402,80.8,-0.269245454,-0.085440581,0.007855183,0.522108926
403,81,-0.288614182,-0.084918615,0.009880342,0.522777224
404,81.2,-0.3032129,-0.06943011,0.004276971,0.526061063
405,81.4,-0.316386226,-0.06908755,0.005835756,0.524488012
406,81.6,-0.33084792,-0.075900819,0.011634433,0.528395365
407,81.8,-0.346746553,-0.078870078,0.003492784,0.529141785
408,82,-0.362395952,-0.069266199,0.001353797,0.529792479
409,82.2,-0.374453033,-0.059767201,-0.000625787,0.529683304
410,82.4,-0.386302832,-0.068631551,-0.001630407,0.529542164
411,82.6,-0.401905653,-0.080490838,-0.001999414,0.529031141
412,82.8,-0.418499167,-0.079251927,-0.003967493,0.528742399
413,83,-0.433606424,-0.062224833,-0.002173923,0.527444144
414,83.2,-0.4433891,-0.057775005,-0.00170888,0.527872829
415,83.4,-0.456716426,-0.060700668,-0.006391439,0.526760592
416,83.6,-0.467669368,-0.050847383,-0.000810433,0.525316254
417,83.8,-0.477055379,-0.06776829,0.009786514,0.526436419
418,84,-0.494776683,-0.064986923,0.005794399,0.529230859
419,84.2,-0.503050148,-0.051167808,-0.010621579,0.528754178
420,84.4,-0.515243807,-0.063512453,-0.001757182,0.524982228
421,84.6,-0.528455129,-0.06394123,0.008090679,0.528051306
422,84.8,-0.540820299,-0.052848866,0.00924629,0.528218499
423,85,-0.549594676,-0.058533807,0.014553495,0.531749822
424,85.2,-0.564233821,-0.067952978,0.007239649,0.534039897
425,85.4,-0.576775867,-0.148580701,0.014369664,0.534645681
426,85.6,-0.623666102,-0.211500554,0.027539854,0.539787763
427,85.8,-0.661376088,-0.053502501,0.016378274,0.545661623
428,86,-0.645067102,0.085478535,0.010635523,0.546339073
429,86.2,-0.627184674,0.086036029,0.01358941,0.549915832
430,86.4,-0.610652691,0.083334469,0.012478599,0.551774837
431,86.6,-0.593850887,0.093356653,0.000876066,0.554907272
432,86.8,-0.57331003,0.090688153,-0.014356519,0.552125263
433,87,-0.557575626,0.090950963,-0.010721912,0.549164664
434,87.2,-0.536929644,0.090290067,-0.007932878,0.547836498
435,87.4,-0.521459599,0.083622678,0.002710893,0.545991513
436,87.6,-0.503480573,0.105277067,0.001418139,0.548920856
437,87.8,-0.479348772,0.102276481,0.00067229,0.546558769
438,88,-0.462569981,0.092260008,0.009786497,0.549189772
439,88.2,-0.442444769,0.098240803,0.005499423,0.550473367
440,88.4,-0.42327366,0.096145313,-0.000163927,0.551389541
441,88.6,-0.403986644,0.115752725,-0.003414019,0.550407796
442,88.8,-0.37697257,0.111854317,0.002372259,0.550023933
443,89,-0.359244917,0.086433319,0.001924498,0.5513567
444,89.2,-0.342399242,0.08678178,0.002024569,0.550793732
445,89.4,-0.324532205,0.098144639,0.006918201,0.552166528
446,89.6,-0.303141387,0.110557413,0.004630014,0.553561013
